question_number,question_text,image,options,answer,explanation,QA type,knowledge topics,book label,level of difficulty,question type,share_context,share_image,pil_image,pil_share_image
19,"Based upon Exhibits 1 and 3, the estimated value of Property 1 using the sales",[],"{'A': 'A.40,050,000.', 'B': 'B.40,300,000.', 'C': 'C.44,500,000.'}",C,"The estimate of the value of Property #1 using the sales comparison approach is:

|                  | Unadjusted psf | Adjusted psf               |
|------------------|----------------|----------------------------|
| Sales Comp 1     | $415           | $394 (= $415 \times 0.95)$ |
| Sales Comp 2     | $395           | $462 (= $395 \times 1.17)$ |
| Sales Comp 3     | $400           | $480 (= $400 \times 1.20)$ |
| **Average**      | $403           | $445                       |

Estimated Value of Property #1 = $44,500,000 = $445 psf \times 100,000 sf$",math reasoning QA,"Real Estate Valuation, Comparative Market Analysis, Sales Comparison Approach",Alternative Investments,easy,text + image,"['Amanda Rodriguez is an alternative investments analyst for a US investment management\nfirm, Delphinus Brothers. Delphinus’ Chief Investment Officer, Michael Tang, has informed\nRodriguez that he wants to reduce the amount invested in traditional asset classes and gain\nexposure to the real estate sector by acquiring commercial property in the United States.\nRodriguez is to analyze potential commercial real estate investments for Delphinus Brothers.\nSelected data on three commercial real estate properties is presented in Exhibit 1.\nRodriguez reviews the three properties with Tang, who indicates that he would like her to focus\non Property #1 because of his prediction of robust job growth in New York City over the next\nten years. To complete her analysis, Rodriquez assembles additional data on Property #1, which\nis presented in Exhibits 2, 3 and 4.\n \nAs part of the review, Tang asks Rodriguez to evaluate financing alternatives to determine if\nit would be better to use debt financing or to make an all cash purchase. Tang directs\nRodriguez to inquire about terms with Richmond Life Insurance Company, a publicly traded\ncompany, which is an active lender on commercial real estate property. Rodriquez obtains the\nfollowing information from Richmond Life for a loan on Property #1: loan term of 5 years,\ninterest rate of 5.75% interest-only, maximum loan to value of 75%, and minimum debt service\ncoverage ratio of 1.5x.After reviewing her research materials, Rodriguez formulates the\nfollowing two conclusions:Conclusion 1Benefits of private equity real estate investments\ninclude owners’ ability to attain diversification benefits, to earn current income, and to\nachieve tax benefits.Conclusion 2Risk factors of private equity real estate investments include\nbusiness conditions, demographics, the cost of debt and equity capital, and financial leverage.\n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_2.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_3.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=469x580 at 0x11413A170>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=490x330 at 0x11413A050>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=511x451 at 0x11413A080>]"
20,"In the event that Delphinus purchases Property 2, the due diligence process",[],"{'A': 'A.all tenant leases.', 'B': 'B.tenant sales data.', 'C': 'C.he grocery anchor lease.'}",C,"The due diligence process includes a review of leases for major tenants which would
include the grocery anchor tenant. Typically, only major tenant leases will be reviewed in the
due diligence process, and smaller tenant leases will likely not be reviewed. Also, the fact
that Other Income is only $15,000 suggests that percentage rent linked to sales levels is
minimal and has not been underwritten in the valuation and acquisition process.",knowledge reasoning QA,"Due Diligence, Lease Agreements, Tenant Analysis",Alternative Investments,easy,text + image,"['Amanda Rodriguez is an alternative investments analyst for a US investment management\nfirm, Delphinus Brothers. Delphinus’ Chief Investment Officer, Michael Tang, has informed\nRodriguez that he wants to reduce the amount invested in traditional asset classes and gain\nexposure to the real estate sector by acquiring commercial property in the United States.\nRodriguez is to analyze potential commercial real estate investments for Delphinus Brothers.\nSelected data on three commercial real estate properties is presented in Exhibit 1.\nRodriguez reviews the three properties with Tang, who indicates that he would like her to focus\non Property #1 because of his prediction of robust job growth in New York City over the next\nten years. To complete her analysis, Rodriquez assembles additional data on Property #1, which\nis presented in Exhibits 2, 3 and 4.\n \nAs part of the review, Tang asks Rodriguez to evaluate financing alternatives to determine if\nit would be better to use debt financing or to make an all cash purchase. Tang directs\nRodriguez to inquire about terms with Richmond Life Insurance Company, a publicly traded\ncompany, which is an active lender on commercial real estate property. Rodriquez obtains the\nfollowing information from Richmond Life for a loan on Property #1: loan term of 5 years,\ninterest rate of 5.75% interest-only, maximum loan to value of 75%, and minimum debt service\ncoverage ratio of 1.5x.After reviewing her research materials, Rodriguez formulates the\nfollowing two conclusions:Conclusion 1Benefits of private equity real estate investments\ninclude owners’ ability to attain diversification benefits, to earn current income, and to\nachieve tax benefits.Conclusion 2Risk factors of private equity real estate investments include\nbusiness conditions, demographics, the cost of debt and equity capital, and financial leverage.\n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_2.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_3.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=469x580 at 0x11413A0E0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=490x330 at 0x114139FC0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=511x451 at 0x114139F30>]"
21,"Compared with an all-cash purchase, a mortgage on Property 1 through Richmond",[],"{'A': 'A.a lower return on equity.', 'B': 'B.a higher return on equity.', 'C': 'C.the same return on equity.'}",B,"Delphinus will expect to earn a higher return on equity with the use of a mortgage
to finance a portion of the purchase. The quoted mortgage interest rate of 5.75% is less than
the discount rate of 7.25%.",Knowledge reasoning QA,"Leverage, Return on equity (ROE), Financing decisions",Alternative Investments,easy,text + image,"['Amanda Rodriguez is an alternative investments analyst for a US investment management\nfirm, Delphinus Brothers. Delphinus’ Chief Investment Officer, Michael Tang, has informed\nRodriguez that he wants to reduce the amount invested in traditional asset classes and gain\nexposure to the real estate sector by acquiring commercial property in the United States.\nRodriguez is to analyze potential commercial real estate investments for Delphinus Brothers.\nSelected data on three commercial real estate properties is presented in Exhibit 1.\nRodriguez reviews the three properties with Tang, who indicates that he would like her to focus\non Property #1 because of his prediction of robust job growth in New York City over the next\nten years. To complete her analysis, Rodriquez assembles additional data on Property #1, which\nis presented in Exhibits 2, 3 and 4.\n \nAs part of the review, Tang asks Rodriguez to evaluate financing alternatives to determine if\nit would be better to use debt financing or to make an all cash purchase. Tang directs\nRodriguez to inquire about terms with Richmond Life Insurance Company, a publicly traded\ncompany, which is an active lender on commercial real estate property. Rodriquez obtains the\nfollowing information from Richmond Life for a loan on Property #1: loan term of 5 years,\ninterest rate of 5.75% interest-only, maximum loan to value of 75%, and minimum debt service\ncoverage ratio of 1.5x.After reviewing her research materials, Rodriguez formulates the\nfollowing two conclusions:Conclusion 1Benefits of private equity real estate investments\ninclude owners’ ability to attain diversification benefits, to earn current income, and to\nachieve tax benefits.Conclusion 2Risk factors of private equity real estate investments include\nbusiness conditions, demographics, the cost of debt and equity capital, and financial leverage.\n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_2.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_3.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=469x580 at 0x1137AAA70>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=490x330 at 0x1137AA290>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=511x451 at 0x1137AB1F0>]"
22,"Assuming an appraised value of $48 million, Richmond Life Insurance Company’s",[],"{'A': 'A.$32 million.', 'B': 'B.$36 million.', 'C': 'C.$45 million.'}",A,"The maximum amount of debt that an investor can obtain on commercial real estate is
usually limited by either the ratio of the loan to the appraised value of the property (loan to
value or LTV) or the debt service coverage ratio (DSCR) depending on which measure results in
the lowest loan amount. The maximum LTV is 75% of the appraised value of $48,000,000 or
$36,000,000. The loan amount based on the minimum DSCR would be $32,183,652 determined as
follows:Maximum debt service = Year 1 NOI/DSCR = $2,775,840/1.5 = $1,850,560 Loan amount
(interest only loan) = maximum debt service/mortgage rate = $1,850,560/0.0575 = $32,183,652
(rounded to $32,000,000).",Math reasoning QA,"Loan-to-Value (LTV) Ratio, Debt Service Coverage Ratio (DSCR), Commercial Real Estate Financing",Alternative Investments,easy,text + image,"['Amanda Rodriguez is an alternative investments analyst for a US investment management\nfirm, Delphinus Brothers. Delphinus’ Chief Investment Officer, Michael Tang, has informed\nRodriguez that he wants to reduce the amount invested in traditional asset classes and gain\nexposure to the real estate sector by acquiring commercial property in the United States.\nRodriguez is to analyze potential commercial real estate investments for Delphinus Brothers.\nSelected data on three commercial real estate properties is presented in Exhibit 1.\nRodriguez reviews the three properties with Tang, who indicates that he would like her to focus\non Property #1 because of his prediction of robust job growth in New York City over the next\nten years. To complete her analysis, Rodriquez assembles additional data on Property #1, which\nis presented in Exhibits 2, 3 and 4.\n \nAs part of the review, Tang asks Rodriguez to evaluate financing alternatives to determine if\nit would be better to use debt financing or to make an all cash purchase. Tang directs\nRodriguez to inquire about terms with Richmond Life Insurance Company, a publicly traded\ncompany, which is an active lender on commercial real estate property. Rodriquez obtains the\nfollowing information from Richmond Life for a loan on Property #1: loan term of 5 years,\ninterest rate of 5.75% interest-only, maximum loan to value of 75%, and minimum debt service\ncoverage ratio of 1.5x.After reviewing her research materials, Rodriguez formulates the\nfollowing two conclusions:Conclusion 1Benefits of private equity real estate investments\ninclude owners’ ability to attain diversification benefits, to earn current income, and to\nachieve tax benefits.Conclusion 2Risk factors of private equity real estate investments include\nbusiness conditions, demographics, the cost of debt and equity capital, and financial leverage.\n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_2.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_3.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=469x580 at 0x1137AB3D0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=490x330 at 0x1137A9FC0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=511x451 at 0x1137AB1C0>]"
23,Rodriguez’s Conclusion 1 is:,[],"{'A': 'A.correct.', 'B': 'B.incorrect, because tax benefits do not apply to tax-exempt entities.', 'C': 'C.incorrect, because private real estate is highly correlated to stocks.'}",A,"Benefits of private equity real estate investments include owners' ability to
attain diversification benefits, to earn current income, and to achieve tax benefits.",knowledge reasoning QA,"Real estate investment, Diversification benefits, Tax benefits",Alternative Investments,easy,text + image,"['Amanda Rodriguez is an alternative investments analyst for a US investment management\nfirm, Delphinus Brothers. Delphinus’ Chief Investment Officer, Michael Tang, has informed\nRodriguez that he wants to reduce the amount invested in traditional asset classes and gain\nexposure to the real estate sector by acquiring commercial property in the United States.\nRodriguez is to analyze potential commercial real estate investments for Delphinus Brothers.\nSelected data on three commercial real estate properties is presented in Exhibit 1.\nRodriguez reviews the three properties with Tang, who indicates that he would like her to focus\non Property #1 because of his prediction of robust job growth in New York City over the next\nten years. To complete her analysis, Rodriquez assembles additional data on Property #1, which\nis presented in Exhibits 2, 3 and 4.\n \nAs part of the review, Tang asks Rodriguez to evaluate financing alternatives to determine if\nit would be better to use debt financing or to make an all cash purchase. Tang directs\nRodriguez to inquire about terms with Richmond Life Insurance Company, a publicly traded\ncompany, which is an active lender on commercial real estate property. Rodriquez obtains the\nfollowing information from Richmond Life for a loan on Property #1: loan term of 5 years,\ninterest rate of 5.75% interest-only, maximum loan to value of 75%, and minimum debt service\ncoverage ratio of 1.5x.After reviewing her research materials, Rodriguez formulates the\nfollowing two conclusions:Conclusion 1Benefits of private equity real estate investments\ninclude owners’ ability to attain diversification benefits, to earn current income, and to\nachieve tax benefits.Conclusion 2Risk factors of private equity real estate investments include\nbusiness conditions, demographics, the cost of debt and equity capital, and financial leverage.\n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_2.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_3.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=469x580 at 0x1137AB460>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=490x330 at 0x1137A9F00>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=511x451 at 0x1137A9F90>]"
24,Rodriguez’s Conclusion 2 is:,[],"{'A': 'A.correct.', 'B': 'B.incorrect, because inflation is not a risk factor.', 'C': 'C.incorrect, because the cost of equity capital is not a risk factor.'}",A,"Business conditions, demographics, the cost of debt and equity capital, and
financial leverage are characteristic sources of risk for real estate investments.",Knowledge reasoning QA,"Credit Risk, Market Risk, Real Estate Investment",Alternative Investments,easy,text + image,"['Amanda Rodriguez is an alternative investments analyst for a US investment management\nfirm, Delphinus Brothers. Delphinus’ Chief Investment Officer, Michael Tang, has informed\nRodriguez that he wants to reduce the amount invested in traditional asset classes and gain\nexposure to the real estate sector by acquiring commercial property in the United States.\nRodriguez is to analyze potential commercial real estate investments for Delphinus Brothers.\nSelected data on three commercial real estate properties is presented in Exhibit 1.\nRodriguez reviews the three properties with Tang, who indicates that he would like her to focus\non Property #1 because of his prediction of robust job growth in New York City over the next\nten years. To complete her analysis, Rodriquez assembles additional data on Property #1, which\nis presented in Exhibits 2, 3 and 4.\n \nAs part of the review, Tang asks Rodriguez to evaluate financing alternatives to determine if\nit would be better to use debt financing or to make an all cash purchase. Tang directs\nRodriguez to inquire about terms with Richmond Life Insurance Company, a publicly traded\ncompany, which is an active lender on commercial real estate property. Rodriquez obtains the\nfollowing information from Richmond Life for a loan on Property #1: loan term of 5 years,\ninterest rate of 5.75% interest-only, maximum loan to value of 75%, and minimum debt service\ncoverage ratio of 1.5x.After reviewing her research materials, Rodriguez formulates the\nfollowing two conclusions:Conclusion 1Benefits of private equity real estate investments\ninclude owners’ ability to attain diversification benefits, to earn current income, and to\nachieve tax benefits.Conclusion 2Risk factors of private equity real estate investments include\nbusiness conditions, demographics, the cost of debt and equity capital, and financial leverage.\n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_2.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_3.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=469x580 at 0x1137AB3A0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=490x330 at 0x1137AAAA0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=511x451 at 0x1137AA890>]"
25,Richmond Life Insurance Company’s potential investment would be most likely,[],"{'A': 'A.private real estate debt.', 'B': 'B.private real estate equity.', 'C': 'C.publicly traded real estate debt.'}",A,"Richmond Life’s investment would be a mortgage which falls under private debt on
the four quadrants.",Knowledge reasoning QA,"Types of Real Estate Investments, Real Estate Debt vs. Equity, Investment Classification",Alternative Investments,easy,text + image,"['Amanda Rodriguez is an alternative investments analyst for a US investment management\nfirm, Delphinus Brothers. Delphinus’ Chief Investment Officer, Michael Tang, has informed\nRodriguez that he wants to reduce the amount invested in traditional asset classes and gain\nexposure to the real estate sector by acquiring commercial property in the United States.\nRodriguez is to analyze potential commercial real estate investments for Delphinus Brothers.\nSelected data on three commercial real estate properties is presented in Exhibit 1.\nRodriguez reviews the three properties with Tang, who indicates that he would like her to focus\non Property #1 because of his prediction of robust job growth in New York City over the next\nten years. To complete her analysis, Rodriquez assembles additional data on Property #1, which\nis presented in Exhibits 2, 3 and 4.\n \nAs part of the review, Tang asks Rodriguez to evaluate financing alternatives to determine if\nit would be better to use debt financing or to make an all cash purchase. Tang directs\nRodriguez to inquire about terms with Richmond Life Insurance Company, a publicly traded\ncompany, which is an active lender on commercial real estate property. Rodriquez obtains the\nfollowing information from Richmond Life for a loan on Property #1: loan term of 5 years,\ninterest rate of 5.75% interest-only, maximum loan to value of 75%, and minimum debt service\ncoverage ratio of 1.5x.After reviewing her research materials, Rodriguez formulates the\nfollowing two conclusions:Conclusion 1Benefits of private equity real estate investments\ninclude owners’ ability to attain diversification benefits, to earn current income, and to\nachieve tax benefits.Conclusion 2Risk factors of private equity real estate investments include\nbusiness conditions, demographics, the cost of debt and equity capital, and financial leverage.\n ']","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_2.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share14-25_3.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=469x580 at 0x1137AB760>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=490x330 at 0x1137AA0B0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=511x451 at 0x1137AB2E0>]"
26,The Apex Fund is most likely to be characterized as:,[],"{'A': 'A.a hedger.', 'B': 'B.a speculator.', 'C': 'C.an arbitrageur.'}",C,"Commodity arbitrage involves an ability to inventory physical commodities and the
attempt to capitalize on mispricing between the commodity (along with related storage and
financing costs) and the futures price. The Apex Fund has access to storage facilities and uses
these facilities in the attempt to capitalize on mispricing opportunities.",Knowledge reasoning QA,"Risk Management, Markets and Instruments, Arbitrage",Alternative Investments,easy,text + image,"[""Raffi Musicale is the portfolio manager for a defined benefit pension plan. He meets\nwith Jenny Brown, market strategist with Menlo Bank, to discuss possible investment\nopportunities. The investment committee for the pension plan has recently approved expanding\nthe plan's permitted asset mix to include alternative asset classes.Brown proposes the Apex\nCommodity Fund (Apex Fund) offered by Menlo Bank as a potentially suitable investment for the\npension plan. The Apex Fund attempts to produce trading profits by capitalizing on the\nmispricing between the spot and futures prices of commodities. The fund has access to storage\nfacilities, allowing it to take delivery of commodities when necessary. The Apex Fund's current\nasset allocation is presented in Exhibit 1.\nBrown explains that the Apex Fund has had historically low correlations with stocks and bonds,\nresulting in diversification benefits. Musicale asks Brown, “Can you identify a factor that\naffects the valuation of financial assets like stocks and bonds but does not affect the\nvaluation of commodities?”Brown shares selected futures contract data for three markets in\nwhich the Apex Fund invests. The futures data are presented in Exhibit 2.\nMenlo Bank recently released a report on the coffee market. Brown shares the key conclusion\nfrom the report with Musicale: “The coffee market had a global harvest that was greater than\nexpected. Despite the large harvest, coffee futures trading activity is balanced between\nproducers and consumers. This balanced condition is not expected to change over the next\nyear”Brown shows Musicale the total return of a recent trade executed by the Apex Fund. Brown\nexplains that the Apex Fund took a fully collateralized long futures position in nearby soybean\nfutures contracts at the quoted futures price of 865.0 (US cents/bushel). Three months later,\nthe entire futures position was rolled when the near-term futures price was 877.0 and the\nfarther-term futures price was 883.0. During the three-month period between the time that the\ninitial long position was taken and the rolling of the contract, the collateral earned an\nannualized rate of 0.60%.Brown tells Musicale that the pension fund could alternatively gain\nlong exposure to commodities using the swap market. Brown and Musicale analyze the performance\nof a long position in an S&P GSCI total return swap having monthly resets and a notional amount\nof $25 million. Selected data on the S&P GSCI are presented in Exhibit 3.\n \n ""]","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share26-33_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share26-33_2.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share26-33_3.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=349x149 at 0x1137AA9E0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=431x152 at 0x11409D420>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=315x125 at 0x11409DF00>]"
27,Which factor would most likely affect the supply or demand of all four sectors,[],"{'A': 'A.Weather', 'B': 'B.Spoilage', 'C': 'C.Government actions'}",C,"Government actions can affect the supply or demand of all four sectors of the Apex
Fund. With respect to energy, environmental mandates imposed by governments have tightened
pollution standards, which have led to increasing processing costs that negatively affect
demand. The supply of live stock, such as hogs and cattle, is affected by government-permitted
use of drugs and growth hormones. Softs, or cash crops, can be affected by government actions,
such as the attempt to maintain strategic stockpiles to control domestic prices. The level of
demand and relative value of a precious metal, such as gold, is directly linked to government
actions associated with managing to inflation targets.",Knowledge reasoning QA,"Government regulation, Demand and supply dynamics, Sector-specific risk factors",Alternative Investments,easy,text + image,"[""Raffi Musicale is the portfolio manager for a defined benefit pension plan. He meets\nwith Jenny Brown, market strategist with Menlo Bank, to discuss possible investment\nopportunities. The investment committee for the pension plan has recently approved expanding\nthe plan's permitted asset mix to include alternative asset classes.Brown proposes the Apex\nCommodity Fund (Apex Fund) offered by Menlo Bank as a potentially suitable investment for the\npension plan. The Apex Fund attempts to produce trading profits by capitalizing on the\nmispricing between the spot and futures prices of commodities. The fund has access to storage\nfacilities, allowing it to take delivery of commodities when necessary. The Apex Fund's current\nasset allocation is presented in Exhibit 1.\nBrown explains that the Apex Fund has had historically low correlations with stocks and bonds,\nresulting in diversification benefits. Musicale asks Brown, “Can you identify a factor that\naffects the valuation of financial assets like stocks and bonds but does not affect the\nvaluation of commodities?”Brown shares selected futures contract data for three markets in\nwhich the Apex Fund invests. The futures data are presented in Exhibit 2.\nMenlo Bank recently released a report on the coffee market. Brown shares the key conclusion\nfrom the report with Musicale: “The coffee market had a global harvest that was greater than\nexpected. Despite the large harvest, coffee futures trading activity is balanced between\nproducers and consumers. This balanced condition is not expected to change over the next\nyear”Brown shows Musicale the total return of a recent trade executed by the Apex Fund. Brown\nexplains that the Apex Fund took a fully collateralized long futures position in nearby soybean\nfutures contracts at the quoted futures price of 865.0 (US cents/bushel). Three months later,\nthe entire futures position was rolled when the near-term futures price was 877.0 and the\nfarther-term futures price was 883.0. During the three-month period between the time that the\ninitial long position was taken and the rolling of the contract, the collateral earned an\nannualized rate of 0.60%.Brown tells Musicale that the pension fund could alternatively gain\nlong exposure to commodities using the swap market. Brown and Musicale analyze the performance\nof a long position in an S&P GSCI total return swap having monthly resets and a notional amount\nof $25 million. Selected data on the S&P GSCI are presented in Exhibit 3.\n \n ""]","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share26-33_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share26-33_2.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share26-33_3.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=349x149 at 0x11409E860>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=431x152 at 0x11409FDC0>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=315x125 at 0x11409DD80>]"
28,The most appropriate response to Musicale’s question regarding the valuation,[],"{'A': 'A.storage costs.', 'B': 'B.transportation costs.', 'C': 'C.expected future cash flows.'}",C,"Expected future cash flows affect the valuation of financial assets, such as stocks
and bonds, but do not affect the valuation of commodities. Financial assets (stocks and bonds)
are valued based on expected future cash flows. In contrast, the valuation of a commodity is
based on a discounted forecast of a future commodity price, which incorporates storage and
transportation costs.",Knowledge reasoning QA,"Commodity Valuation, Financial Asset Valuation, Discounted Forecasting",Alternative Investments,easy,text + image,"[""Raffi Musicale is the portfolio manager for a defined benefit pension plan. He meets\nwith Jenny Brown, market strategist with Menlo Bank, to discuss possible investment\nopportunities. The investment committee for the pension plan has recently approved expanding\nthe plan's permitted asset mix to include alternative asset classes.Brown proposes the Apex\nCommodity Fund (Apex Fund) offered by Menlo Bank as a potentially suitable investment for the\npension plan. The Apex Fund attempts to produce trading profits by capitalizing on the\nmispricing between the spot and futures prices of commodities. The fund has access to storage\nfacilities, allowing it to take delivery of commodities when necessary. The Apex Fund's current\nasset allocation is presented in Exhibit 1.\nBrown explains that the Apex Fund has had historically low correlations with stocks and bonds,\nresulting in diversification benefits. Musicale asks Brown, “Can you identify a factor that\naffects the valuation of financial assets like stocks and bonds but does not affect the\nvaluation of commodities?”Brown shares selected futures contract data for three markets in\nwhich the Apex Fund invests. The futures data are presented in Exhibit 2.\nMenlo Bank recently released a report on the coffee market. Brown shares the key conclusion\nfrom the report with Musicale: “The coffee market had a global harvest that was greater than\nexpected. Despite the large harvest, coffee futures trading activity is balanced between\nproducers and consumers. This balanced condition is not expected to change over the next\nyear”Brown shows Musicale the total return of a recent trade executed by the Apex Fund. Brown\nexplains that the Apex Fund took a fully collateralized long futures position in nearby soybean\nfutures contracts at the quoted futures price of 865.0 (US cents/bushel). Three months later,\nthe entire futures position was rolled when the near-term futures price was 877.0 and the\nfarther-term futures price was 883.0. During the three-month period between the time that the\ninitial long position was taken and the rolling of the contract, the collateral earned an\nannualized rate of 0.60%.Brown tells Musicale that the pension fund could alternatively gain\nlong exposure to commodities using the swap market. Brown and Musicale analyze the performance\nof a long position in an S&P GSCI total return swap having monthly resets and a notional amount\nof $25 million. Selected data on the S&P GSCI are presented in Exhibit 3.\n \n ""]","['/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share26-33_1.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share26-33_2.png', '/Volumes/Jennie/Reasoning/FinMath/data/CFALevel2/AlternativeInvestments/AlternativeInvestments_images/share26-33_3.png']",[],"[<PIL.PngImagePlugin.PngImageFile image mode=RGBA size=349x149 at 0x113EBF190>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=431x152 at 0x113EBDD50>, <PIL.PngImagePlugin.PngImageFile image mode=RGBA size=315x125 at 0x113EBDCF0>]"
